0,0,9.57875175721197e-05,0.144234273649195
0.001,0,0.000100814065817864,0.144234273649195
0.002,0,0.000105840614063607,0.143987931999695
0.003,0,0.000110867162309351,0.144234273649195
0.004,0,0.000115893710555095,0.144480615298695
0.005,0,0.000115893710555095,0.144480615298695
0.006,0,0.000110867162309351,0.143987931999695
0.007,0,0.000110867162309351,0.143987931999695
0.008,0,0.000110867162309351,0.144480615298695
0.009,0,0.000115893710555095,0.144234273649195
0.01,0,0.000115893710555095,0.143741590350195
0.011,0,0.000115893710555095,0.143741590350195
0.012,0,0.000115893710555095,0.144234273649195
0.013,0,0.000115893710555095,0.144234273649195
0.014,0,0.000115893710555095,0.144234273649195
0.015,0,0.000115893710555095,0.143987931999695
0.016,0,0.000115893710555095,0.143741590350195
0.017,0,0.000115893710555095,0.143987931999695
0.018,0,0.000115893710555095,0.143741590350195
0.019,0,0.000115893710555095,0.143248907051194
0.02,0,0.000115893710555095,0.143987931999695
0.021,0,0.000120920258800838,0.143741590350195
0.022,0,0.000120920258800838,0.143987931999695
0.023,0,0.000115893710555095,0.143987931999695
0.024,0,0.000115893710555095,0.143987931999695
0.025,0,0.000115893710555095,0.143987931999695
0.026,0,0.000120920258800838,0.144234273649195
0.027,0,0.000120920258800838,0.143987931999695
0.028,0,0.000120920258800838,0.143987931999695
0.029,0,0.000115893710555095,0.143987931999695
0.03,0,0.000115893710555095,0.143495248700694
0.031,0,0.000120920258800838,0.144234273649195
0.032,0,0.000120920258800838,0.143741590350195
0.033,0,0.000120920258800838,0.144234273649195
0.034,0,0.000120920258800838,0.143741590350195
0.035,0,0.000120920258800838,0.143741590350195
0.036,0,0.000120920258800838,0.143495248700694
0.037,0,0.000120920258800838,0.143495248700694
0.038,0,0.000120920258800838,0.144234273649195
0.039,0,0.000120920258800838,0.143495248700694
0.04,0,0.000120920258800838,0.143741590350195
0.041,0,0.000120920258800838,0.144234273649195
0.042,0,0.000120920258800838,0.143495248700694
0.043,0,0.000120920258800838,0.143987931999695
0.044,0,0.000120920258800838,0.143987931999695
0.045,0,0.000120920258800838,0.143495248700694
0.046,0,0.000120920258800838,0.144234273649195
0.047,0,0.000120920258800838,0.144234273649195
0.048,0,0.000120920258800838,0.143987931999695
0.049,0,0.000120920258800838,0.143987931999695
0.05,0,0.000120920258800838,0.143741590350195
0.051,0,0.000120920258800838,0.143741590350195
0.052,0,0.000120920258800838,0.143987931999695
0.053,0,0.000120920258800838,0.143495248700694
0.054,0,0.000120920258800838,0.144234273649195
0.055,0,0.000120920258800838,0.143495248700694
0.056,0,0.000120920258800838,0.144480615298695
0.057,0,0.000120920258800838,0.143741590350195
0.058,0,0.000120920258800838,0.143987931999695
0.059,0,0.000120920258800838,0.143987931999695
0.06,0,0.000120920258800838,0.143987931999695
0.061,0,0.000120920258800838,0.143741590350195
0.062,0,0.000120920258800838,0.143987931999695
0.063,0,0.000120920258800838,0.144234273649195
0.064,0,0.000120920258800838,0.143741590350195
0.065,0,0.000120920258800838,0.143987931999695
0.066,0,0.000120920258800838,0.144234273649195
0.067,0,0.000120920258800838,0.143987931999695
0.068,0,0.000120920258800838,0.144234273649195
0.069,0,0.000120920258800838,0.143987931999695
0.07,0,0.000120920258800838,0.144234273649195
0.071,0,0.000120920258800838,0.143741590350195
0.072,0,0.000120920258800838,0.143495248700694
0.073,0,0.000120920258800838,0.143987931999695
0.074,0,0.000120920258800838,0.144234273649195
0.075,0,0.000120920258800838,0.143741590350195
0.076,0,0.000120920258800838,0.144234273649195
0.077,0,0.000120920258800838,0.144234273649195
0.078,0,0.000120920258800838,0.143987931999695
0.079,0,0.000120920258800838,0.143987931999695
0.08,0,0.000120920258800838,0.143987931999695
0.081,0,0.000120920258800838,0.144234273649195
0.082,0,0.000120920258800838,0.144234273649195
0.083,0,0.000120920258800838,0.144234273649195
0.084,0,0.000120920258800838,0.144234273649195
0.085,0,0.000120920258800838,0.144234273649195
0.086,0,0.000120920258800838,0.143987931999695
0.087,0,0.000120920258800838,0.143987931999695
0.088,0,0.000120920258800838,0.143987931999695
0.089,0,0.000120920258800838,0.144234273649195
0.09,0,0.000120920258800838,0.143987931999695
0.091,0,0.000120920258800838,0.144234273649195
0.092,0,0.000120920258800838,0.144234273649195
0.093,0,0.000120920258800838,0.144234273649195
0.094,0,0.000120920258800838,0.144234273649195
0.095,0,0.000120920258800838,0.144234273649195
0.096,0,0.000120920258800838,0.144480615298695
0.097,0,0.000120920258800838,0.144234273649195
0.098,0,0.000120920258800838,0.144726956948196
0.099,0,0.000120920258800838,0.144480615298695
0.1,0,0.000120920258800838,0.143987931999695
0.101,0,0.000120920258800838,0.144726956948196
0.102,0,0.000120920258800838,0.144234273649195
0.103,0,0.000120920258800838,0.144480615298695
0.104,0,0.000120920258800838,0.144480615298695
0.105,0,0.000120920258800838,0.144726956948196
0.106,0,0.000120920258800838,0.144726956948196
0.107,0,0.000120920258800838,0.144726956948196
0.108,0,0.000120920258800838,0.144726956948196
0.109,0,0.000120920258800838,0.144480615298695
0.11,0,0.000120920258800838,0.144726956948196
0.111,0,0.000120920258800838,0.144480615298695
0.112,0,0.000120920258800838,0.144234273649195
0.113,0,0.000120920258800838,0.144726956948196
0.114,0,0.000120920258800838,0.144973298597696
0.115,0,0.000120920258800838,0.144726956948196
0.116,0,0.000120920258800838,0.144726956948196
0.117,0,0.000120920258800838,0.144726956948196
0.118,0,0.000120920258800838,0.144973298597696
0.119,0,0.000120920258800838,0.144480615298695
0.12,0,0.000120920258800838,0.144480615298695
0.121,0,0.000120920258800838,0.144480615298695
0.122,0,0.000120920258800838,0.144726956948196
0.123,0,0.000120920258800838,0.144726956948196
0.124,0,0.000120920258800838,0.145219640247196
0.125,0,0.000120920258800838,0.144726956948196
0.126,0,0.000120920258800838,0.144973298597696
0.127,0,0.000125946807046582,0.144480615298695
0.128,0,0.000125946807046582,0.144726956948196
0.129,0,0.000120920258800838,0.144234273649195
0.13,0,0.000120920258800838,0.144726956948196
0.131,0,0.000120920258800838,0.144726956948196
0.132,0,0.000125946807046582,0.144973298597696
0.133,0,0.000125946807046582,0.144973298597696
0.134,0,0.000125946807046582,0.144726956948196
0.135,0,0.000120920258800838,0.144973298597696
